#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Tenochtitlan","Calaverx",23,128,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Tenochtitlan",2022-03-09,04:22,65,72,0,74,89,0,10,-9,A#/B♭,4,2025-07-29,4mWDQ4KuBmu90YIJQCCsUE,"Calaverx",6B,SE5752221257
2,"El Diablo en el Cuerpo","Size",34,133,"post-punk, egg punk, darkwave, mexican rock, deathrock, cold wave","Electronic, Rock, Latin","Size",2018-11-02,03:58,66,72,12,17,41,0,30,-7,C♯/D♭,4,2025-07-29,7003uu01EikaVaCMiU2RC0,"Cleopatra Records",3B,QM6XS1807661
3,"Música Electrónica - 1988","Decada 2",0,120,"mexican indie, ebm, gothic rock, post-punk, darkwave","Electronic, Rock","The Vox (Vol. 1) [1985-1989]",2016-02-22,07:10,71,95,1,13,22,0,10,-6,G,4,2025-07-29,2pRxgOVvUJIE5j0wOCZD5c,"Fonarte Latino",9B,MXF601600110
4,"Furia","El Clan",0,122,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Sigue Soplando el Anima",1998-00-00,04:02,60,83,1,0,38,0,10,-7,F,4,2025-07-29,6Z87AM9QPyXPDpS9rMmYsD,"Opcion Sonica USA",7B,QM6MZ1495260
5,"Astrónomo Insumiso","Equinoxious",32,175,"cold wave, darkwave, post-punk, gothic rock, ebm","Electronic, Rock","Cosmódromo",2016-09-01,04:45,49,96,0,24,35,0,10,-6,B minor,4,2025-07-29,4jAvNrbowuSgqta1xr3Crc,"Mecanica",10A,ES71G1701790
6,"Cuerpos Huecos","Casino Shanghai",36,124,"mexican rock, post-punk, cold wave, darkwave, synthpop","Electronic, Rock, Latin, Pop","Film",1985-06-01,03:26,57,71,6,5,69,0,10,-5,G#/A♭,4,2025-07-29,1GP0A3w6iZxIkgxjGvX9Tc,"Gato X Liebre",4B,usx9p1237876
7,"Two-Headed Hydra","HOFFEN",19,145,"darkwave, post-punk, cold wave, deathrock, gothic rock","Electronic, Rock","Cold Tears of an Angel",2016-01-01,03:23,46,95,0,74,54,0,0,-4,A,4,2025-07-29,3t8dTdbNoBHs45PvNQ4BrH,"NOF",11B,GBSMU4810480
8,"Eternos","Leonora Post Punk",46,160,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Eternos",2020-05-07,02:48,56,61,5,76,84,0,10,-11,C♯/D♭ minor,4,2025-07-29,7iXHrszWTu8t97TcR4CEN5,"2111313 Records DK2",12A,QZHN62035279
9,"Atlas","I Can Fly",35,175,"post-punk, darkwave, cold wave","Electronic, Rock","Atlas",2017-05-09,03:34,31,91,0,68,56,0,20,-6,D,4,2025-07-29,4yGhAWw01GQrDSbJgFT16Y,"I Can Fly",10B,US7VG1762849
10,"Invitación a las armas","Emilio Revólver",3,160,"post-punk, gothic rock, cold wave, darkwave","Electronic, Rock","Revlover",2019-01-08,02:45,30,79,0,0,25,0,10,-7,E,4,2025-07-29,07OcJR21xnhdjm6cjfZoMg,"We are one Records",12B,GBSMU5957337
11,"D Killer","Alkalá",0,123,"darkwave, cold wave, post-punk, deathrock, gothic rock","Electronic, Rock","Vacui I",2019-10-04,04:43,69,63,8,5,43,0,10,-8,B,4,2025-07-29,3DnaO6RlxVsPJJWd8ZzZlz,"Indiefy",1B,QZDFP1804425
12,"Fiction","Neue Strassen",10,180,"cold wave, darkwave, post-punk, deathrock, gothic rock","Electronic, Rock","Moderne Zeiten",2017-03-11,02:59,44,86,1,88,88,0,10,-14,B minor,4,2025-07-29,0hJit5y1zEbu7JNGgv55mi,"Infravox Records & Stereochip Records",10A,uscgj1912165
13,"Ode to Sanity","Senseless Days",0,137,"","","Ode to Sanity",2020-09-22,03:58,24,71,0,0,39,0,0,-7,C,4,2025-07-29,3OZc0sXTLgU8s71YTESE9i,"2309242 Records DK",8B,QZK6G2056334
14,"Lunas","Inovercy",0,105,"deathrock, post-punk, darkwave, gothic rock, cold wave","Electronic, Rock","Lunas",2020-04-12,03:06,46,81,0,46,32,0,30,-8,D minor,4,2025-07-29,6iYezBYVPql7hDiGrqtLvm,"Inovercy",7A,RUA1H2088879
15,"Vamos","Calaverx",15,164,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Vamos",2021-01-01,04:16,57,83,10,31,67,0,10,-8,A minor,4,2025-07-29,3KTc3iVXcVnIw4staCo9sL,"CALAVERX",8A,QZNJX2095666
16,"Paranoia","Sobaka",0,175,"","","Paket Sobak",2020-05-17,02:37,46,46,0,88,83,0,10,-18,G#/A♭,4,2025-07-29,2Cx9SLhly7YprK0KikFQHR,"Sailing Thoughts Records",4B,QZHN32006674
17,"Love Never Dies","Lucida Fila",4,120,"gothic rock, deathrock, darkwave, post-punk","Electronic, Rock","Et Vidi Lucem...",2020-08-06,06:29,53,76,1,4,10,0,10,-9,A#/B♭,4,2025-07-29,2A8HsxdNvd9GL51fwuBHPP,"Teatro de los Sueños",6B,GBSMU8491271
18,"Possessions","Dance Skeleton",5,185,"deathrock, post-punk, darkwave, horror punk, cold wave, gothic rock","Electronic, Rock, Metal","Possessions",2020-06-05,03:36,10,57,0,75,4,0,30,-14,E,4,2025-07-29,5qwxqqiuW751saZStiFS1y,"Dance Skeleton",12B,SE6HN2079219
19,"Lebanese Garden","Prismatic Shapes",3,173,"post-punk, darkwave, cold wave, gothic rock, deathrock","Electronic, Rock","Deadbeat",2020-04-03,02:29,44,81,0,77,73,0,60,-6,F minor,4,2025-07-29,2kWMXS6x0EJ6QertM3UDuc,"Independiente",4A,MX3742000168
20,"Hollow Bodies","Casino Shanghai",21,124,"mexican rock, post-punk, cold wave, darkwave, synthpop","Electronic, Rock, Latin, Pop","Film",1985-06-01,03:24,61,63,40,0,61,0,10,-6,D#/E♭ minor,4,2025-07-29,7zWGhUHa1L5lqeF8SVn2Cx,"Gato X Liebre",2A,usx9p1237867
21,"Magia Negra","Calaverx",9,142,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Magia Negra",2020-07-05,03:59,71,68,0,1,97,0,10,-9,G minor,4,2025-07-29,5SukJZj2odwE4asgnZZBL1,"Producciones del infierno",6A,SE6I32079037
22,"A.r.m.a.","ZODIAC ZODIAC",0,125,"cold wave, post-punk, darkwave","Electronic, Rock","A.r.m.a.",2019-04-01,03:16,60,56,0,62,75,0,10,-13,G#/A♭,4,2025-07-29,5F4wJqsavpoe6oFP2GPJgb,"ZODIAC ZODIAC",4B,AEA0D1945667
23,"Folie a deux","Beatcrafted",1,126,"post-punk, cold wave, darkwave","Electronic, Rock","Theories of Human Machine",2020-04-28,04:52,73,78,0,18,39,0,0,-9,G,4,2025-07-29,0ISqVGri57yViS88qmA74T,"Plastic Records",9B,usdy42058416
24,"Death Song","Stranger and Lovers",0,170,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Stranger and Lovers",2019-11-27,03:38,40,76,2,38,55,0,10,-7,C minor,4,2025-07-29,5bB5pCv6TgMRujdAfv0Enl,"1600641 Records DK",5A,QZHNC1987779
25,"Maldita Confusión","Daniela Vald",0,114,"post-punk","Rock","Daniela Vald EP",2019-09-08,02:37,74,85,44,65,53,0,0,-6,G,4,2025-07-29,2KQbVbygO0Jui6SUUuOXdu,"We Are One Records",9B,GBSMU6870511
26,"Mechanic","Rebel Empire",2,200,"ebm, industrial","Electronic, Rock","Movimiento Máquina (International Brotherhood of Machines)",2017-09-15,02:39,61,96,22,23,30,10,0,-6,A#/B♭ minor,4,2025-07-29,13mz36XHsGgXE0GrDU8Kui,"Electrosound",3A,MXD781700450
27,"Palabras","Flexible",0,130,"darkwave","Electronic","Flexible",2017-02-05,03:54,53,96,5,1,45,10,30,-6,C♯/D♭,4,2025-07-29,5hBvN3OAe4aVeyRyKLeply,"651575 Records DK",3B,QZ4JJ1770541
28,"Ángel","Decena Trágica",0,165,"post-punk, deathrock, darkwave, cold wave, gothic rock","Electronic, Rock","Ángel",2019-12-17,04:37,44,66,1,62,93,0,10,-10,B minor,4,2025-07-29,3KLYXXX7kLU6EixvvsJxby,"We are one Records",10A,GBSMU7336606
29,"Never Let Me Go","Akuro",0,155,"","","Input",2019-06-28,03:42,50,99,1,9,44,0,10,-7,F,4,2025-07-29,0bqW4RbvCQm0XqVxnMmLSw,"Akuro",7B,SE5751989712
30,"Melancolia","Depraved Priest",0,89,"ebm, industrial","Electronic, Rock","Depraved Priest",2020-07-03,02:03,33,15,63,97,4,0,10,-16,D#/E♭,4,2025-07-29,3M5Ap42dxIEzx8GSnJyfJF,"Sector Industrial Producciones",5B,NOGVY2015040
31,"Hatroz","Hatrox",0,155,"ebm, post-punk","Electronic, Rock","Rugiendo De Furia",2020-07-03,03:13,47,69,2,0,38,10,10,-14,C,4,2025-07-29,6KrR0k1LXxhTJrL6qu1aXW,"Music Goht",8B,SE6I32093890
32,"Nocturne Wolf","Charles Liebert",0,120,"","","The Neon Dreams of Electric Sirens",2019-04-19,04:45,53,84,78,94,28,20,10,-14,A minor,4,2025-07-29,4z1J2EcyFU5GNNhWVnRoYm,"Charles Liebert",8A,AEA0D1952202
33,"Mentes Vacias","Ultimattum",0,130,"ebm","Electronic","Maquinarias",2019-08-02,04:10,62,89,0,69,68,0,10,-16,F,4,2025-07-29,1L6uWIJhLpshLDmJnrngK2,"Indiefy",7B,QZDPF1826464
34,"In My Eyes","I Can Fly",14,160,"post-punk, darkwave, cold wave","Electronic, Rock","I Can Fly",2015-07-27,03:35,38,96,10,17,48,0,30,-1,F,4,2025-07-29,6UEJtiClxlfi69inksDJPB,"I Can Fly",7B,QZ5AB1637454
35,"Zweiheit","Werner Karloff",3,175,"cold wave, darkwave, post-punk, ebm","Electronic, Rock","Stereochip Mixtape, Vol. 1",2018-06-20,03:34,45,97,0,67,80,0,30,-7,B,4,2025-07-29,7FHa3GgOokTRQD0WvCcsKF,"Stereochip Records",1B,ushm21833189
36,"Ojos Invisibles","Mekrokiev",0,166,"deathrock, gothic rock, post-punk, darkwave, cold wave, horror punk","Electronic, Rock, Metal","Esfera",2011-10-28,03:58,39,83,0,0,85,0,10,-6,B minor,4,2025-07-29,02cGVpmTnQiZVepm9vDTW4,"Mekrokiev",10A,RUA1H1957877
37,"Lean (Post-Punk)","Saúl De los Santos",21,160,"post-punk, mexican indie","Rock","Lean (Post-Punk)",2020-09-17,02:03,60,62,0,12,95,0,10,-12,F#/G♭ minor,4,2025-07-29,5DpYLAu9BVZtBXv0BXrPB6,"2407270 Records DK",11A,QZK6G2057232
38,"Pornorama","Los Malkavian",0,162,"post-punk, darkwave, deathrock","Electronic, Rock","Letargo",2018-07-11,04:41,37,91,0,62,35,0,10,-7,G,4,2025-07-29,7e6neesBtmcM03iMHL0kXV,"Deep",9B,PEBQ91810441
39,"Infecto","OXTE",0,130,"","","Exilio",2019-01-21,06:31,54,73,0,42,34,0,10,-9,A,4,2025-07-29,5JoveMC6PyuxKrtD8iSMIR,"OXTE",11B,GBSMU6119548
40,"Alfabeto - Cold Version 1985","Decada 2",0,116,"mexican indie, ebm, gothic rock, post-punk, darkwave","Electronic, Rock","The Vox (Vol. 1) [1985-1989]",2016-02-22,05:03,61,84,0,57,65,0,0,-7,D,4,2025-07-29,5vZtFFHhBup3OsiCsu4ulf,"Fonarte Latino",10B,MXF601600106
41,"Lápidas de Sal","Funeralz",13,130,"post-punk, cold wave, darkwave, gothic rock","Electronic, Rock","Lápidas de Sal",2020-08-07,05:50,64,54,24,95,50,0,10,-8,C♯/D♭,4,2025-07-29,5oA2uFs3XuoQkih9YI12qR,"Funeralz",3B,ushm92054395
42,"Ni Volteando Santos - Remaster","Silis",1,178,"mexican rock, post-punk, darkwave","Electronic, Latin, Rock","Capítulo 2",2020-01-10,04:25,34,86,0,0,46,0,30,-10,D minor,4,2025-07-29,7rQmHYwJAi7xhobFAJhx1p,"We are one Records",7A,GBSMU7384362
43,"Assembly of Shadows","Dead Stop Mx, Mike Dead, Paco Almazán, Joél Rodríguez, Kelvin Nosti",0,164,"post-punk, darkwave","Electronic, Rock","Assembly of Shadows",2020-06-01,05:14,37,92,0,14,53,0,10,-3,B minor,4,2025-07-29,2IvVDG43V1MEPpZmwbQK07,"Bola de Nieve",10A,GBSMU8199178
44,"Huracán","Fausto",1,120,"mexican rock","Latin, Rock","Homónimo",2017-09-22,04:48,58,63,17,0,41,0,20,-5,F minor,4,2025-07-29,4audqx02MMhL19dAFyVi1n,"Intolerancia Música S. de R.L. de C.V.",4A,MX3451700109
45,"Perdido","Strongville",0,166,"post-punk, cold wave, darkwave","Electronic, Rock","Perdido",2020-07-24,02:53,55,54,6,21,38,0,10,-11,A#/B♭,4,2025-07-29,6JcXDwcx0EDA6XG7cszRZg,"Strongville",6B,ushm92033447
46,"You","Aleister Drak",0,180,"","","You",2020-06-19,03:46,47,95,16,84,89,0,10,-8,D,4,2025-07-29,3GQnBbsOyrMtmUbb1S6txv,"Aleister Drak",10B,ushm82028897
47,"Dead Bodies","Monotonous Cities",0,162,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Monotonous City",2018-01-01,03:10,48,82,7,42,27,0,10,-6,B,4,2025-07-29,7nXl90ZKhcSwRtEfP6cNWg,"We Are One Records",1B,GBSMU5767332
48,"Las Brujas","El Clan",0,130,"mexican rock, mexican ska, deathrock, rock en español, gothic rock, gothic metal","Rock, Metal, Latin","Entidad Mutante - 9132 Días (Remasterizada)",2017-09-01,02:30,47,95,0,1,74,0,30,-3,D minor,4,2025-07-29,3hGymF7d6t66jkhjvMuPtF,"Intolerancia Música S de R.L. de C.V.",7A,MX3451700013
49,"El Año Del Dragón","Caifanes",41,156,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock","El Nervio Del Volcan",1994-00-00,03:47,51,77,33,0,72,0,20,-8,D,4,2025-07-29,0jXRbavKLFwaB0fX74uorF,"RCA Records Label",10B,MXF019400347
50,"Esclavas","Cruz De Navajas",22,160,"deathrock, post-punk, darkwave, gothic rock, cold wave","Electronic, Rock","Dominacion",2018-02-14,03:57,33,92,0,82,43,0,20,-8,B minor,4,2025-07-29,3s3dloaiITLFPU3LEy33X2,"Going Underground",10A,QM6N21815390
51,"Vivir sin ti","Orlok",0,80,"deathrock, gothic rock","Rock","2020",2020-03-27,04:07,53,79,1,53,52,0,0,-6,A#/B♭,4,2025-07-29,3Suwe4NF0wsDZ3Hm7YKm6Q,"Orlok",6B,SE5752047404
52,"Affective Disorders","Nite Shadows",0,100,"post-punk, cold wave, darkwave","Electronic, Rock","Hit You",2018-01-01,05:29,51,91,1,59,78,0,0,-9,G,4,2025-07-29,01vsUeOH204bUtkTYb5rhG,"Nite Shadows",9B,GBSMU5245886
53,"Tears in Rain","Deliverance MX",0,140,"","","Tears in Rain",2020-09-04,05:22,44,97,8,55,33,10,10,-4,A minor,4,2025-07-29,3oCSYawjoVnNN7Wmaob3cN,"Post Gothic",8A,QZK6K2008859
54,"Freedom Melodies","Capitals",9,190,"cold wave, post-punk, darkwave","Electronic, Rock","Freedom Melodies",2019-09-11,04:48,60,84,0,71,81,0,0,-8,D,4,2025-07-29,3TeRpZzjIamtHGodxYBA4T,"858275 Records DK",10B,QZHN41950004
55,"Vaccum","Estrero",16,132,"post-punk, darkwave, cold wave, mexican ska, deathrock, gothic rock","Electronic, Rock, Latin","¿Estrero?",2019-12-11,04:57,38,95,0,38,42,0,30,-5,D#/E♭,4,2025-07-29,6qhg1nw9asx4QK0ZcZX4mt,"Estrero",5B,GBSMU7304283
56,"Sad Lovers","Monotonous Cities",0,146,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Monotonous City",2018-01-01,03:30,57,88,0,0,72,0,20,-3,D#/E♭ minor,4,2025-07-29,6aJ2BZ7rka4GFO24wh3v2C,"We Are One Records",2A,GBSMU5767328
57,"Blackmail","Inhabitants MX",18,170,"post-punk, cold wave, darkwave","Electronic, Rock","Blackmail",2018-05-08,03:37,47,95,0,65,62,0,10,-5,C minor,4,2025-07-29,2VS6FwdykrOH95F87WD5xV,"Inhabitants MX",5A,GB-SMU-49-79610
58,"Tonight","Size",31,164,"post-punk, egg punk, darkwave, mexican rock, deathrock, cold wave","Electronic, Rock, Latin","Size",2018-11-02,01:17,37,91,0,90,57,0,10,-7,B minor,4,2025-07-29,04TuvUi4Ipsm5sxtujVZ6Z,"Cleopatra Records",10A,QM6XS1807648
59,"Sarajevo","Acid Fader",0,136,"post-punk, cold wave, darkwave","Electronic, Rock","Sarajevo",2019-07-18,03:24,42,61,0,19,33,0,10,-9,G#/A♭,4,2025-07-29,1owskPEf9zu8vagV6rUA9v,"Independant",4B,QZFYZ1990003
60,"Destrucción","The Funeral Medieval",0,180,"post-punk, cold wave, deathrock, darkwave, gothic rock","Electronic, Rock","Colder Streets: Cold Wave / Minimal Synth Compilation, Vol. 1",2020-03-27,02:35,19,95,22,94,37,0,20,-4,A,4,2025-07-29,7znD9udwcM7CQfKRggO43O,"Electrosound",11B,MXC812090146
61,"Magnétique","La Bande-Son Imaginaire",32,130,"darkwave, post-punk, gothic rock, cold wave, ebm","Electronic, Rock","Mezcal a pleno vuelo",2018-04-09,05:43,64,95,0,71,88,0,10,-7,C♯/D♭,4,2025-07-29,6IgJADjPE0Vhp3HDstmt6F,"Tanat Records",3B,uscgj1893598
62,"Sin Miedo","San Charbel",0,90,"post-punk, mexican indie, darkwave, latin indie","Electronic, Latin, Rock","Nubes",2017-03-10,04:19,64,63,19,0,38,0,10,-9,B,4,2025-07-29,423Joi24CjzMVq6eRASo9p,"Emma's House Records",1B,QM4TW1791217
63,"Go Away","Hvmvn",8,175,"post-punk, cold wave","Electronic, Rock","Hollow",2017-12-15,03:36,42,73,11,73,63,0,0,-16,F minor,4,2025-07-29,0sh9SefpJFDveiRK22m2hy,"Hvmvn",4A,QZ5AB1818308
64,"Será por Eso","Caifanes",49,153,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock","Caifanes",1988-05-15,03:34,46,77,7,0,47,0,40,-7,E,4,2025-07-29,0qgDf2H3HHSfiANtWkZPXh,"RCA Records Label",12B,MXF018800679
65,"Zoroastro","El Ojo Y La Navaja",3,180,"darkwave, cold wave, post-punk, deathrock, gothic rock, mexican ska","Electronic, Rock, Latin","Anarquía Coronada",2018-08-01,03:27,28,80,0,89,16,0,10,-6,A#/B♭ minor,4,2025-07-29,4GfXi3UkcnMb4Zw0Gf8u03,"Psychic Hearts",3A,ES71G1858199
66,"Tú Besando la Locura","Hueco",0,150,"gothic rock, mexican rock, post-punk, deathrock","Rock, Latin","Tú Besando la Locura",2020-09-18,03:03,45,84,0,25,47,0,0,-9,G,4,2025-07-29,54ucVBZIQUl5B6ZrODJXp0,"Agenda Rock México",9B,MXD782003869
67,"Ella Se Queda","Mint Field",0,155,"shoegaze, dream pop, mexican rock, mexican indie, latin indie, space rock","Pop, Rock, Latin","Mientras Esperas",2019-03-01,05:43,49,74,2,85,60,0,40,-9,A,4,2025-07-29,7Lcc1aZyRTu5FXXaO66Hq7,"Innovative Leisure",11B,USD8D1964001
68,"You fucked the Devil Rosemary!","Vestron Vulture",9,116,"darkwave, post-punk, cold wave, synthwave, witch house","Electronic, Rock","The Collection",2018-01-01,03:14,71,80,0,86,60,0,10,-9,A#/B♭ minor,4,2025-07-29,5H5W2bWeMxuqNDXlYulGSz,"Vestron Vulture",3A,GBSMU4632482
69,"Aufmerksamkeitsdefizit​​-Hyperaktivitätsstörung","Mementut",20,160,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Post-Punk / Mementut Itsog Album Completo",2020-10-13,05:15,54,95,0,91,68,10,10,-5,F,4,2025-07-29,3kwT8Avy5xmiytAqJ8ipOS,"Crowmann Records",7B,QZMEP2019188
70,"Irrational Fears","SUNNSET",0,180,"darkwave, post-punk, cold wave, deathrock, gothic rock","Electronic, Rock","Una Mirada a Través De La Medusa (Un Ensayo Incompleto)",2019-05-18,04:28,40,81,54,94,56,0,10,-8,G,4,2025-07-29,6Hffy74rd9Z9T36Ppzh3ma,"SUNNSET",9B,AEA0D1973425
71,"Я Иду В Oxxo (Demo)","Darkø",0,160,"darkwave, post-punk, cold wave, gothic rock","Electronic, Rock","Я Иду В Oxxo (Demo)",2020-05-30,02:08,44,77,31,75,7,0,10,-8,D minor,4,2025-07-29,61AK9xQFn9ymT87aMG9trR,"Darkø",7A,USHM22095978
72,"Walk the Night (Demo Version)","Blood Dance",16,70,"gothic rock, deathrock, darkwave, post-punk, cold wave","Electronic, Rock","Walk the Night (Demo Version)",2019-10-25,03:47,37,86,0,84,30,0,10,-5,D#/E♭,4,2025-07-29,3TwayOQPn0czLDdR2LEclf,"Blood Dance",5B,CAHQJ1982352
73,"Poor","Knives Tea",0,149,"","","Nonsense Existence",2013-08-10,03:56,33,88,6,0,66,20,0,-5,B minor,4,2025-07-29,2OsWimqTbjZn2MfM2j0NpF,"Knives Tea",10A,RUA1H1791370
74,"Alive","Candy Colors",17,145,"post-punk, cold wave, darkwave, latin indie","Electronic, Rock, Latin","Casus Belli",2015-10-07,03:53,50,76,0,2,66,0,0,-7,D,4,2025-07-29,1WFjVzEZ2rIYm5oj90QbSo,"Candy Colors",10B,SEYOK1830445
75,"Nubes","San Charbel",0,84,"post-punk, mexican indie, darkwave, latin indie","Electronic, Latin, Rock","Nubes",2017-03-10,03:10,65,81,5,27,64,0,10,-8,D,4,2025-07-29,1VMjD5PgetnDuWx8anKTnh,"Emma's House Records",10B,QM4TW1791220
76,"Swimming","Marlento",2,157,"post-punk, cold wave","Electronic, Rock","Ludo Lpn2",2011-02-26,04:35,36,66,0,67,27,0,10,-8,E minor,4,2025-07-29,2zGWMcoAE8LHPeZvXlgraj,"Intolerancia",9A,uscgj1240869
77,"Why","Lejana",0,144,"","","Lejana",2014-04-04,05:16,55,71,58,0,15,0,10,-7,C,4,2025-07-29,53zgDDMBUkd2b5VukxsB42,"succotash",8B,DEKQ11400005
78,"Calisto","HOFFEN",24,90,"darkwave, post-punk, cold wave, deathrock, gothic rock","Electronic, Rock","Cold Tears of an Angel",2016-01-01,04:36,50,86,0,81,66,0,0,-3,A,4,2025-07-29,1t6cUV9jMHSZhmzuVFCaa2,"NOF",11B,GBSMU4810478
79,"Frost","Blue Nipples",1,165,"post-punk, mexican rock, cold wave","Electronic, Rock, Latin","Metonimia Pt. 2",2019-01-18,03:10,49,93,0,0,44,0,30,-5,D,4,2025-07-29,7eiqvZ8aQarkTIGYV36FDt,"Sejuva Records",10B,MX3741900015
80,"Ocean","Wallabies",1,123,"post-punk, cold wave","Electronic, Rock","Ocean",2016-06-17,02:58,56,74,0,2,86,0,0,-5,A,4,2025-07-29,4Yt4EnikoQBsbL4CFTZn85,"Madriguera Studio",11B,US7VG1654145
81,"Sombras","DUVVII",0,183,"mexican indie, post-punk, shoegaze, cold wave","Electronic, Rock","Eternos",2019-06-09,03:36,25,98,0,55,26,0,80,-1,A#/B♭,4,2025-07-29,2Pq3izWpoho4HJgGUQpcTF,"CINTAS",6B,QM6N21937989
82,"Zapata","YoungYoung",5,147,"post-punk, darkwave, cold wave","Electronic, Rock","YoungYoung (Homónimo)",2018-03-08,03:35,54,90,0,7,36,0,0,-3,C♯/D♭ minor,4,2025-07-29,71TrzVtQbP2BujAYmB03wc,"YoungYoung",12A,GBSMU6095034
83,"Inmune","Waterfalls",2,155,"post-punk, cold wave","Electronic, Rock","Inmune",2018-11-19,03:30,39,97,0,80,66,0,30,-2,D,4,2025-07-29,2bHO3EUCDEO6i17ulJ0Sog,"Waterfalls",10B,RUA1H1809565
84,"Inferno Club","Acid Waves",17,135,"darkwave","Electronic","Inferno Club",2017-07-21,03:38,57,68,1,93,39,0,20,-11,B minor,4,2025-07-29,2qIDR3eFyT78scwmUavLXB,"Acid Waves",10A,RUA1H1774939
85,"Berlin","Sexores",0,145,"shoegaze, dream pop, darkwave, post-punk, cold wave","Electronic, Rock, Pop","East / West",2018-03-15,03:49,62,49,0,85,43,0,10,-10,F minor,4,2025-07-29,7uFogiv3u9j8nqVeGrxHAP,"Recoop",4A,ECA131700102
86,"Shadow of Your Love","The Darkstar Calling",3,180,"gothic rock, darkwave, cold wave, post-punk, deathrock","Electronic, Rock","Shadow of Your Love",2018-12-02,05:29,45,66,3,26,41,10,10,-10,A minor,4,2025-07-29,5C6mJUTKGSWavAPEXIVl1X,"Darkstar Prods.",8A,usl4q1858210
87,"El Miedo","Espejo Convexo",11,117,"post-punk, darkwave, cold wave, gothic rock, deathrock","Electronic, Rock","Ruina Circular",2017-07-26,05:08,53,88,11,95,71,0,0,-6,B,4,2025-07-29,3Fzp1lVpS3B5uVqnkSvblQ,"Industrias Wio",1B,ushm21762247
88,"Todos tienen miedo","Fe",3,160,"post-punk, cold wave, darkwave","Electronic, Rock","Edén",2020-04-29,04:00,44,70,1,93,41,0,0,-13,C♯/D♭,4,2025-07-29,7BGiN0pTnDqmAL0CWoL13A,"Ulysses Soto",3B,GBSMU8275074
89,"Claustrophobic Love","Soma Cake",0,155,"post-punk, cold wave, jangle pop, gothic rock, darkwave, shoegaze","Electronic, Rock, Pop","The Longest Hug",2020-03-05,03:18,49,71,0,91,48,0,20,-9,F#/G♭ minor,4,2025-07-29,05EOlBXgmjTjJtktiR790T,"Stupid Decisions",11A,QZGWW2027529
90,"Beauty of Revenge","Capitals",9,173,"cold wave, post-punk, darkwave","Electronic, Rock"," AÑO ONCE ",2019-01-22,02:14,57,50,0,85,47,0,10,-9,G minor,4,2025-07-29,1Y9D5Ynvb3WHYonLbcfU2C,"858275 Records DK",6A,QZ8LD1971519
91,"Asterion","Procesamiento digital de señales",13,156,"post-punk, darkwave, gothic rock, cold wave","Electronic, Rock","Clutter",2018-10-11,03:23,46,80,3,94,80,0,10,-8,G#/A♭,4,2025-07-29,2xZRmMnyIptd57y0SmrTHv,"We are one Records",4B,GBSMU5666600
92,"Abscond","Between Minds",3,155,"post-punk, cold wave, darkwave, gothic rock","Electronic, Rock","Between Minds",2019-02-25,03:42,44,81,34,93,67,0,20,-8,C♯/D♭ minor,4,2025-07-29,60xEnSj6cEqlZaQZszdAqy,"We are one Records",12A,GBSMU6128811
93,"Quiero Otoño de Nuevo","Mint Field",0,148,"shoegaze, dream pop, mexican rock, mexican indie, latin indie, space rock","Pop, Rock, Latin","Pasar de las Luces",2018-02-23,04:51,41,69,1,90,31,0,0,-7,D,4,2025-07-29,45ZKbVY1fXBm70YVH1R4Yl,"Innovative Leisure",10B,USD8D1854005
94,"Away","Hawaiian Gremlins",38,163,"post-punk, mexican indie, cold wave, darkwave","Electronic, Rock","Away",2015-09-13,03:30,47,83,0,91,51,0,20,-10,C minor,4,2025-07-29,7zmx0jIZRjZ2fSOYqByKNa,"Hawaiian Gremlins/Koi",5A,US7VG1522951
95,"Mystery","Dead Stop Mx",0,75,"post-punk","Rock","Borderline",2020-01-14,03:44,46,93,0,93,20,0,0,-5,B minor,4,2025-07-29,3ChvGkI8Jm5oyEpN8Q6h6f,"Bola de Nieve",10A,GBSMU7794332
96,"Despertar","TITANIA, Joacox",0,127,"","","Despertar",2020-06-04,03:03,56,73,13,5,52,10,10,-10,F#/G♭ minor,4,2025-07-29,3PCU3pnM0o3kUEm9o3dNiQ,"Cigoto Records",11A,GBSMU8187044
97,"Miente","Calaverx",10,120,"post-punk, darkwave, cold wave, deathrock, gothic rock","Electronic, Rock","Miente",2021-02-01,05:39,68,70,2,4,60,0,0,-8,C,4,2025-07-29,3SjwzRn0JYBCa2Hy6foKML,"CALAVERX",8B,QZNJX2096085
